Choose a name for this experiment (e.g. Min Dist to Goal And Obstacle): testingLargerRadiusPPO
--------------------------------
description of environment (describe what you changed in the code and why you think it might work): radius is larger so less sparse and want to see if A2C works better than PPO
--------------------------------
Reinforcement learning algorithm you are using (e.g. PPO, A2C): PPO
--------------------------------
Experiment was ran with 10 iterations
--------------------------------
number of timesteps for training: 1000000
Episode:15 Score:99997 Successful:True Number of Steps:12
Episode:16 Score:99522.75 Successful:True Number of Steps:139
Episode:17 Score:92935.25 Successful:True Number of Steps:403
Episode:18 Score:99791.5 Successful:True Number of Steps:40
Episode:19 Score:99891 Successful:True Number of Steps:23
Episode:20 Score:96282.5 Successful:True Number of Steps:481
Episode:21 Score:98881.0 Successful:True Number of Steps:73
Episode:22 Score:99986.75 Successful:True Number of Steps:25
Episode:23 Score:99493.0 Successful:True Number of Steps:42
Episode:24 Score:99743.5 Successful:True Number of Steps:204
Episode:25 Score:99252.5 Successful:True Number of Steps:87
Episode:26 Score:96347.25 Successful:True Number of Steps:417
Episode:27 Score:99965.25 Successful:True Number of Steps:42
Episode:28 Score:99976 Successful:True Number of Steps:19
Episode:29 Score:99945.5 Successful:True Number of Steps:50
Episode:30 Score:99968.5 Successful:True Number of Steps:35
number successful: 29
RESULTS FOR STARTING POSITION: (0,24)
Episode:1 Score:-1207.0 Successful:False Number of Steps:500
Episode:2 Score:99491.5 Successful:True Number of Steps:94
Episode:3 Score:98961.25 Successful:True Number of Steps:383
Episode:4 Score:99328.25 Successful:True Number of Steps:184
Episode:5 Score:-1369.5 Successful:False Number of Steps:500
Episode:6 Score:99563.5 Successful:True Number of Steps:40
Episode:7 Score:97755.5 Successful:True Number of Steps:344
Episode:8 Score:98463.25 Successful:True Number of Steps:340
Episode:9 Score:-1228.75 Successful:False Number of Steps:500
Episode:10 Score:98139.25 Successful:True Number of Steps:157
Episode:11 Score:94047.0 Successful:True Number of Steps:339
Episode:12 Score:99267.5 Successful:True Number of Steps:223
Episode:13 Score:-1971.5 Successful:False Number of Steps:500
