Episode:27 Score:-176.0 Successful:False Number of Steps:500
Episode:28 Score:-174.75 Successful:False Number of Steps:500
Episode:29 Score:-178.75 Successful:False Number of Steps:500
Episode:30 Score:99987.75 Successful:True Number of Steps:19
number successful: 4
RESULTS FOR STARTING POSITION: (19,31)
Episode:1 Score:99998.5 Successful:True Number of Steps:11
Episode:2 Score:99999.5 Successful:True Number of Steps:7
Episode:3 Score:99999.5 Successful:True Number of Steps:7
Episode:4 Score:99999.5 Successful:True Number of Steps:7
Episode:5 Score:99999.5 Successful:True Number of Steps:7
Episode:6 Score:99999.5 Successful:True Number of Steps:7
Episode:7 Score:99999.5 Successful:True Number of Steps:7
Episode:8 Score:99999.5 Successful:True Number of Steps:7
Episode:9 Score:99999.5 Successful:True Number of Steps:7
Episode:10 Score:99996.5 Successful:True Number of Steps:8
Episode:11 Score:99999.5 Successful:True Number of Steps:7
Episode:12 Score:99996.5 Successful:True Number of Steps:8
Episode:13 Score:99999.5 Successful:True Number of Steps:7
Episode:14 Score:99999.5 Successful:True Number of Steps:7
Episode:15 Score:99999.5 Successful:True Number of Steps:7
Episode:16 Score:99996.5 Successful:True Number of Steps:8
Episode:17 Score:99999.5 Successful:True Number of Steps:7
Episode:18 Score:99999.5 Successful:True Number of Steps:7
Episode:19 Score:99999.5 Successful:True Number of Steps:7
Episode:20 Score:99999.5 Successful:True Number of Steps:7
Episode:21 Score:99996.5 Successful:True Number of Steps:14
Episode:22 Score:99996.25 Successful:True Number of Steps:10
Episode:23 Score:99999.5 Successful:True Number of Steps:7
Episode:24 Score:99999.0 Successful:True Number of Steps:9
Episode:25 Score:99996.25 Successful:True Number of Steps:10
Episode:26 Score:99999.5 Successful:True Number of Steps:7
Episode:27 Score:99999.5 Successful:True Number of Steps:9
Episode:28 Score:99999.0 Successful:True Number of Steps:9
Episode:29 Score:99999.5 Successful:True Number of Steps:7
Episode:30 Score:99999.5 Successful:True Number of Steps:7
number successful: 30
average percent successful: 0.9133333333333333
average number of steps of episodes that succeeded: 18.87226277372263
