Choose a name for this experiment (e.g. Min Dist to Goal And Obstacle): df
--------------------------------
description of environment (describe what you changed in the code and why you think it might work): sf
--------------------------------
Reinforcement learning algorithm you are using (e.g. PPO, A2C): sadf
--------------------------------
Experiment was ran with 10 iterations
--------------------------------
number of timesteps for training: 1000000
--------------------------------
Episode:2 Score:-4604.249235024936 Successful:False Number of Steps:500
Episode:3 Score:-3708.7675785923725 Successful:False Number of Steps:500
Episode:4 Score:-3256.9204961288724 Successful:False Number of Steps:500
Episode:5 Score:-3155.510616741014 Successful:False Number of Steps:500
Episode:6 Score:-4141.770106975962 Successful:False Number of Steps:500
Episode:7 Score:95702.08351719553 Successful:True Number of Steps:492
Episode:8 Score:-3386.283394518384 Successful:False Number of Steps:500
Episode:9 Score:-2944.3948513838895 Successful:False Number of Steps:500
Episode:10 Score:-4491.756885252258 Successful:False Number of Steps:500
Episode:11 Score:-3710.741040404096 Successful:False Number of Steps:500
Episode:12 Score:-4052.2037139588024 Successful:False Number of Steps:500
Episode:13 Score:97743.62717290402 Successful:True Number of Steps:237
Episode:14 Score:-3572.6442492428255 Successful:False Number of Steps:500
Episode:15 Score:-2869.3744874396057 Successful:False Number of Steps:500
Episode:16 Score:-3251.9012628023165 Successful:False Number of Steps:500
Episode:17 Score:-4136.5714148480265 Successful:False Number of Steps:500
Episode:18 Score:-3522.1830311433223 Successful:False Number of Steps:500
Episode:19 Score:-3441.544797867202 Successful:False Number of Steps:500
Episode:20 Score:-3533.0396619687413 Successful:False Number of Steps:500
Episode:21 Score:-3060.8524037890857 Successful:False Number of Steps:500
Episode:22 Score:-3990.1308085160586 Successful:False Number of Steps:500
Episode:23 Score:-4247.012978281443 Successful:False Number of Steps:500
Episode:24 Score:-3617.198577841298 Successful:False Number of Steps:500
Episode:25 Score:-3920.6343113311277 Successful:False Number of Steps:500
Episode:26 Score:-3339.116384437341 Successful:False Number of Steps:500
Episode:27 Score:-4218.920257898671 Successful:False Number of Steps:500
Episode:28 Score:-3838.228559565523 Successful:False Number of Steps:500
Episode:29 Score:-3751.9536455950542 Successful:False Number of Steps:500
Episode:30 Score:-4023.4825700598503 Successful:False Number of Steps:500
number successful: 2
RESULTS FOR STARTING POSITION: (24,28)
Episode:1 Score:-5072.844863541719 Successful:False Number of Steps:500
Episode:2 Score:-5236.920139661042 Successful:False Number of Steps:500
Episode:3 Score:-5342.737402514154 Successful:False Number of Steps:500
Episode:4 Score:-3569.536738046267 Successful:False Number of Steps:500
Episode:5 Score:98680.35430435544 Successful:True Number of Steps:211
Episode:6 Score:-2908.7309923311936 Successful:False Number of Steps:500
Episode:7 Score:-3626.5832818644108 Successful:False Number of Steps:500
Episode:8 Score:97103.12975439876 Successful:True Number of Steps:291
Episode:9 Score:-5034.553881478053 Successful:False Number of Steps:500
Episode:10 Score:-5472.741535966952 Successful:False Number of Steps:500
Episode:11 Score:-3979.1955493252663 Successful:False Number of Steps:500
Episode:12 Score:-3333.0387326259424 Successful:False Number of Steps:500
Episode:13 Score:-4138.273607208044 Successful:False Number of Steps:500
Episode:14 Score:-5262.219423430084 Successful:False Number of Steps:500
Episode:15 Score:97505.69759659414 Successful:True Number of Steps:351
Episode:16 Score:-4507.611757105261 Successful:False Number of Steps:500
Episode:17 Score:-4586.22208298349 Successful:False Number of Steps:500
Episode:18 Score:-3689.240498015492 Successful:False Number of Steps:500
Episode:19 Score:98509.61658248062 Successful:True Number of Steps:267
Episode:20 Score:97620.9553740001 Successful:True Number of Steps:336
Episode:21 Score:-4617.574328203269 Successful:False Number of Steps:500
Episode:22 Score:-3557.859254833478 Successful:False Number of Steps:500
Episode:23 Score:-4915.626534509823 Successful:False Number of Steps:500
Episode:24 Score:-5875.906447548805 Successful:False Number of Steps:500
Episode:25 Score:-6095.529371691912 Successful:False Number of Steps:500
Episode:26 Score:-4041.833369760739 Successful:False Number of Steps:500
