Choose a name for this experiment (e.g. Min Dist to Goal And Obstacle): 
--------------------------------
description of environment (describe what you changed in the code and why you think it might work): 
--------------------------------
Reinforcement learning algorithm you are using (e.g. PPO, A2C): 
--------------------------------
Experiment was ran with 10 iterations
--------------------------------
number of timesteps for training: 1000000
--------------------------------
Episode:10 Score:-3757.5839219180634 Successful:False Number of Steps:500
Episode:11 Score:96429.60247038522 Successful:True Number of Steps:435
Episode:12 Score:99520.30871937727 Successful:True Number of Steps:39
Episode:13 Score:99475.01481258453 Successful:True Number of Steps:41
Episode:14 Score:98037.95007266868 Successful:True Number of Steps:275
Episode:15 Score:-3622.692647969808 Successful:False Number of Steps:500
Episode:16 Score:99369.01481258453 Successful:True Number of Steps:44
Episode:17 Score:99235.480538705 Successful:True Number of Steps:69
Episode:18 Score:96520.78534397065 Successful:True Number of Steps:471
Episode:19 Score:-3132.2901106194076 Successful:False Number of Steps:500
Episode:20 Score:99147.36225908321 Successful:True Number of Steps:73
Episode:21 Score:98362.82798520368 Successful:True Number of Steps:218
Episode:22 Score:97458.07216013368 Successful:True Number of Steps:320
Episode:23 Score:99152.60262617 Successful:True Number of Steps:110
Episode:24 Score:98636.19043975548 Successful:True Number of Steps:179
Episode:25 Score:98351.58465492312 Successful:True Number of Steps:144
Episode:26 Score:99118.00670153592 Successful:True Number of Steps:102
Episode:27 Score:98025.41579878915 Successful:True Number of Steps:292
Episode:28 Score:99192.01481258453 Successful:True Number of Steps:103
Episode:29 Score:99523.60262617 Successful:True Number of Steps:51
Episode:30 Score:99348.01481258453 Successful:True Number of Steps:51
number successful: 27
RESULTS FOR STARTING POSITION: (28,0)
Episode:1 Score:99968.96959590465 Successful:True Number of Steps:2
Episode:2 Score:99843.43826687132 Successful:True Number of Steps:6
Episode:3 Score:99968.96959590465 Successful:True Number of Steps:2
Episode:4 Score:99968.96959590465 Successful:True Number of Steps:2
Episode:5 Score:99905.3878997685 Successful:True Number of Steps:4
Episode:6 Score:99968.96959590465 Successful:True Number of Steps:2
Episode:7 Score:99968.96959590465 Successful:True Number of Steps:2
Episode:8 Score:99905.3878997685 Successful:True Number of Steps:4
Episode:9 Score:99968.96959590465 Successful:True Number of Steps:2
Episode:10 Score:99968.96959590465 Successful:True Number of Steps:2
Episode:11 Score:99968.96959590465 Successful:True Number of Steps:2
Episode:12 Score:99968.96959590465 Successful:True Number of Steps:2
Episode:13 Score:99968.96959590465 Successful:True Number of Steps:2
Episode:14 Score:99968.96959590465 Successful:True Number of Steps:2
Episode:15 Score:99968.96959590465 Successful:True Number of Steps:2
Episode:16 Score:99968.96959590465 Successful:True Number of Steps:2
Episode:17 Score:99968.96959590465 Successful:True Number of Steps:2
Episode:18 Score:99968.96959590465 Successful:True Number of Steps:2
Episode:19 Score:99968.96959590465 Successful:True Number of Steps:2
Episode:20 Score:99842.25489763278 Successful:True Number of Steps:6
Episode:21 Score:99968.96959590465 Successful:True Number of Steps:2
Episode:22 Score:99968.96959590465 Successful:True Number of Steps:2
Episode:23 Score:99968.96959590465 Successful:True Number of Steps:2
Episode:24 Score:99906.44617555295 Successful:True Number of Steps:4
Episode:25 Score:99968.96959590465 Successful:True Number of Steps:2
Episode:26 Score:99968.96959590465 Successful:True Number of Steps:2
Episode:27 Score:99968.96959590465 Successful:True Number of Steps:2
Episode:28 Score:99968.96959590465 Successful:True Number of Steps:2
Episode:29 Score:99968.96959590465 Successful:True Number of Steps:2
Episode:30 Score:99968.96959590465 Successful:True Number of Steps:2
number successful: 30
RESULTS FOR STARTING POSITION: (3,18)
Episode:1 Score:-3765.323900292407 Successful:False Number of Steps:500
